,Temperature,Clouds,Visibility,Humidity,Pressure,WindSpeed,hour_sin,hour_cos,sin_day_of_month,cos_day_of_month,daylight_duration,Weather_encoded,WeatherDescription_encoded
2024-04-02 01:15:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 01:30:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 01:45:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 02:00:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 02:15:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 02:30:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 02:45:00,10.259999999999993,100.0,10000.0,90.0,1005.0,0.71,0.0,1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 03:00:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 03:15:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 03:30:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 03:45:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
